Aelurodon,Aelurodon montanensis,14.785,14.785
Cynarctoides,Cynarctoides harlowi,22.615000000000002,22.615000000000002
Aelurodon,Aelurodon stirtoni,11.95,14.785
Nyctereutes,Nyctereutes procyonoides,0.06885,1.294
Carpocyon,Carpocyon robustus,11.95,14.1815
Enhydrocyon,Enhydrocyon,25.55,32.05
Cerdocyon,Cerdocyon thous,0.00585,0.063
Vulpes,Vulpes velox,0.063,3.35
Metatomarctus,Metatomarctus canavus,14.1815,18.2
Canis,Canis thooides,3.35,3.35
Canis,Canis dirus,0.06885,1.6845
Leptocyon,Leptocyon vafer,11.95,14.785
Borophaginae,Borophaginae,7.6000000000000005,22.615000000000002
Cynarctus,Cynarctus,11.95,14.785
Neovulpavus,Neovulpavus washakius,43.3,43.3
Cerdocyon,Cerdocyon avius,3.35,3.9605
Nyctereutes,Nyctereutes,1.29985,7.0165
Speothos,Speothos,1.29985,1.29985
Epicyon,Epicyon aelurodontoides,7.6000000000000005,7.6000000000000005
Canis,Canis apolloniensis,1.6845,1.6845
Theriodictis,Theriodictis,0.06885,1.6845
Canis,Canis armbrusteri,0.06885,2.6
Phlaocyon,Phlaocyon latidens,25.615000000000002,32.05
Cynodictis,Cynodictis lacustris,35.55,35.95
Urocyon,Urocyon minicephalus,1.05,1.05
Osbornodon,Osbornodon scitulus,18.2,18.2
Dusicyon,Dusicyon,0.00585,1.29985
Cynarctoides,Cynarctoides emryi,18.2,18.2
Canini,Canini,3.35,7.6000000000000005
Alopex,Alopex lagopus,0.00585,1.05
Lycaon,Lycaon pictus,0.00585,1.29985
Cormocyon,Cormocyon haydeni,22.615000000000002,25.615000000000002
Xenocyon,Xenocyon lycaonoides,0.4535,1.6845
Osbornodon,Osbornodon wangi,25.615000000000002,25.615000000000002
Osbornodon,Osbornodon brachypus,18.2,22.615000000000002
Leptocyon,Leptocyon mollis,25.615000000000002,25.615000000000002
Paraenhydrocyon,Paraenhydrocyon robustus,22.615000000000002,22.615000000000002
Cynarctoides,Cynarctoides gawnae,14.1815,18.2
Borophagus,Borophagus diversidens,3.35,3.35
Urocyon,Urocyon webbi,7.6000000000000005,7.6000000000000005
